section,subsection,item_number,name,traditional_name,description,price
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),11,Ram Ladoo Heritage Bites,,Golden moong dal fritters served with radish garnish and fresh chutneys.,
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),12,Delhi Bazaar Matar Kulcha Medley,,"Spiced white peas paired with soft kulchas, finished with butter and masala.",
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),13,Purani Dilli Kulle Chaat Creation,,Stuffed seasonal fruits and vegetables infused with tangy spices.,
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),14,Delhi Fusion Paneer Tikka Chaat,,"Char-grilled paneer layered into a rich, indulgent chaat composition.",
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),15,Crisp Lachha Potato Indulgence,,Julienned potatoes fried to perfection with signature spice dust.,
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),16,Chatpata Corn Chaat Delight,,"Sweet corn tossed with tangy spices, herbs, and citrus notes.",
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),17,Delhi Khaas Chana Chaat,,"Robust chickpeas tossed with herbs, chutneys, and spice blends.",
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),18,Darbar Moong Dal Pakodi Chaat,,"Crispy lentil fritters finished with yogurt, chutneys, and spices.",
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),19,Delhi Street Bread Pakora Indulgence,,Stuffed bread fritters elevated with chutneys and chaat layering.,
The Great Indian Chaat Experience,Delhi Chaat Darbar (The Imperial Capital Collection),20,Anardana Citrus Fruit Chaat,,"Fresh fruits enhanced with pomegranate, spices, and citrus zest.",
The Great Indian Chaat Experience,Kolkata Chaat Darbar (The Calcutta Heritage Collection),1,Kolkata Royale Puchka Tasting,,"Crisp puchkas filled with tangy tamarind-spiced mash, finished with bold Bengali flavours.",
The Great Indian Chaat Experience,Kolkata Chaat Darbar (The Calcutta Heritage Collection),2,Howrah Aloo Kabli Medley,,"Spiced potatoes and black chana tossed with mustard oil, herbs, and citrus notes.",
The Great Indian Chaat Experience,Kolkata Chaat Darbar (The Calcutta Heritage Collection),3,Calcutta Classic Ghugni Chaat,,"Slow-simmered yellow peas curry finished with onions, chutneys, and spice dust.",
The Great Indian Chaat Experience,Kolkata Chaat Darbar (The Calcutta Heritage Collection),4,Bengal Bazaar Papri Chaat Ensemble,,"Golden crisps layered with yogurt, tamarind glaze, and fresh garnishes.",
The Great Indian Chaat Experience,Kolkata Chaat Darbar (The Calcutta Heritage Collection),5,Nazakat Dahi Puchka Indulgence,,"Crisp shells filled with chilled yogurt, spiced mash, and sweet-tangy chutneys.",
The Great Indian Chaat Experience,Kolkata Chaat Darbar (The Calcutta Heritage Collection),6,Kolkata Street Jhal Muri Experience,,"Puffed rice tossed live with mustard oil, spices, peanuts, and fresh herbs.",
The Great Indian Chaat Experience,Kolkata Chaat Darbar (The Calcutta Heritage Collection),7,Bengali Churmur Chaat Creation,,"Crushed puchkas blended with chutneys, spices, and fresh textures.",
The Great Indian Chaat Experience,Kolkata Chaat Darbar (The Calcutta Heritage Collection),8,Kolkata Aloo Dum Chaat Royale,,Spicy Bengali-style potato curry elevated with chaat toppings and herbs.,
The Great Indian Chaat Experience,Kolkata Chaat Darbar (The Calcutta Heritage Collection),9,Kolkata Spiced Tikki Delight,,Soft potato patties infused with Bengali spices and finished with chutneys.,
The Great Indian Chaat Experience,Kolkata Chaat Darbar (The Calcutta Heritage Collection),10,Bengal Moong Chana Fusion Chaat,,Protein-rich lentils and chickpeas tossed with spices and citrus dressing.,
The Great Indian Chaat Experience,Kolkata Chaat Darbar (The Calcutta Heritage Collection),11,Calcutta Chatpata Corn Toss,,"Sweet corn elevated with tangy spices, herbs, and zesty flavours.",
The Great Indian Chaat Experience,Kolkata Chaat Darbar (The Calcutta Heritage Collection),12,Kolkata Paneer Fusion Chaat,,Soft paneer cubes layered with chutneys and bold spice accents.,
The Great Indian Chaat Experience,Kolkata Chaat Darbar (The Calcutta Heritage Collection),13,Deconstructed Kathi Roll Chaat,,Iconic Kolkata roll reimagined as a layered chaat with smoky flavours.,
The Great Indian Chaat Experience,Kolkata Chaat Darbar (The Calcutta Heritage Collection),14,Bazaar Style Chana Jor Garam Indulgence,,"Crunchy spiced chana mix finished with onions, chutneys, and masala dust.",
The Great Indian Chaat Experience,Kolkata Chaat Darbar (The Calcutta Heritage Collection),15,Anardana Bengal Fruit Chaat,,"Fresh fruits enhanced with pomegranate, spices, and citrus zest.",
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),1,Dakshin Masala Idli Toss,,"Soft idli morsels tossed with spices, curry leaves, and signature chutney glaze.",
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),2,Chettinad Podi Idli Indulgence,,"Mini idlis coated in aromatic gunpowder, ghee, and roasted spices.",
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),3,Silken Dahi Idli — Tempered Elegance,,"Fluffy idlis immersed in chilled yogurt, finished with a South Indian tempering.",
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),4,Tiffin-Style Mini Uttapam Selection,,Bite-sized uttapams topped with vegetables and served with chutney accents.,
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),5,Kuzhi Paniyaram Crisp Bites,,"Golden paniyarams with soft centres, paired with coconut and tomato chutneys.",
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),6,Tempered Curd Rice Chaat,,"Creamy curd rice elevated with mustard seeds, curry leaves, and chaat accents.",
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),7,Sambar Soaked Medu Vada Delight,,"Classic vadas soaked in rich, aromatic sambar.",
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),8,Rasam Infused Vada Essence,,"Light, tangy rasam paired with soft vadas for a delicate flavour profile.",
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),9,Southern Dahi Vada Indulgence,,Soft lentil dumplings in yogurt with a South-style tempering.,
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),10,Kerala Banana Chip Chaat Crunch,,Crisp banana chips tossed with spices and chutneys for a unique texture.,
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),11,Tamil Corn Sundal Creation,,"Tempered sweet corn with coconut, mustard seeds, and curry leaves.",
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),12,Prasadam Style Chana Sundal,,Temple-inspired chana preparation with coconut and mild spices.,
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),13,Coastal Peanut Sundal Toss,,"Peanuts tempered with curry leaves, mustard seeds, and fresh coconut.",
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),14,Malabar Appam Chaat Bites,,Soft appams topped with chutneys and savoury accompaniments.,
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),15,Crisp Dosa Chaat Fusion,,"Broken dosa layered with chutneys, spices, and textures.",
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),16,Classic Onion Tomato Uttapam Chaat,,"Soft uttapam topped with onions, tomatoes, and chutney drizzle.",
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),17,Lemon Rice Chaat — Citrus Infusion,,"Fragrant rice tossed with lemon, curry leaves, and tempered spices.",
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),18,Puliyodarai Tamarind Rice Chaat,,Tangy tamarind rice with roasted peanuts and spice blends.,
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),19,Curd Sevai — Silken Vermicelli Chaat,,Soft vermicelli in chilled yogurt with a delicate tempering.,
The Great Indian Chaat Experience,Dakshin Chaat Darbar (The Southern Heritage Collection),20,Coconut Infused Fruit Chaat,,"Fresh fruits elevated with coconut, subtle spices, and tropical notes.",
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,1,Quinoa Crunch Chaat Bowl,"Quinoa, veggies, light dressing",,
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,2,Avocado Citrus Chaat Delight,Avocado with lemon & herbs,,
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,3,Sprouted Lentil Vitality Chaat,Protein-rich sprouts mix,,
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,4,Mediterranean Chickpea Glow Chaat,"Chickpeas, olives, herbs",,
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,5,Superfood Kale & Corn Chaat,"Kale, sweet corn, light seasoning",,
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,6,Beetroot Yogurt Chaat Bliss,Beetroot with hung curd,,
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,7,Sweet Potato Wellness Chaat,Roasted shakarkandi with spices,,
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,8,Fruit & Nut Harmony Chaat,Seasonal fruits with seeds & nuts,,
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,9,Protein Paneer Lite Chaat,"Grilled paneer, minimal oil",,
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,10,Zesty Cucumber & Peanut Crunch,Refreshing & light,,
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,11,Brown Rice & Veggie Nourish Bowl,Healthy grain chaat,,
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,12,Makhana Mint Chaat Delight,Roasted foxnuts with herbs,,
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,13,Pomegranate Citrus Detox Chaat,"Anar, lemon, mint",,
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,14,Greek Yogurt Chaat Parfait,Layered healthy chaat,,
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,15,Chia Fruit Wellness Cup,Chia + fruits + light honey,,
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,16,Oats & Veggie Light Chaat,Savory oats chaat,,
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,17,Tofu Tossed Fusion Chaat,High protein vegan option,,
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,18,Carrot & Raisin Refresh Chaat,Sweet + tangy balance,,
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,19,Lettuce Wrap Chaat Bites,Low-carb chaat wraps,,
The Great Indian Chaat Experience,Nourish & Indulge Luxury Healthy Chaat Bar,20,Detox Green Apple Chaat,Apple with herbs & seasoning,,
The Italian Culinary Experience,Artisan Breads & Starters,1,Rosemary Focaccia with Sea Salt,,Soft Italian flatbread infused with rosemary and finished with flaky sea salt,
The Italian Culinary Experience,Artisan Breads & Starters,2,Classic Ciabatta Slices,,"Rustic Italian bread with a light, airy texture and crisp crust",
The Italian Culinary Experience,Artisan Breads & Starters,3,Garlic Butter Crostini,,Crisp toasted baguette brushed with rich garlic butter,
The Italian Culinary Experience,Artisan Breads & Starters,4,Parmesan Herb Breadsticks,,Crunchy breadsticks flavored with herbs and aged parmesan,
The Italian Culinary Experience,Artisan Breads & Starters,5,Sun-Dried Tomato Bruschetta,,Tangy sun-dried tomatoes layered over toasted bread,
The Italian Culinary Experience,Artisan Breads & Starters,6,Wild Mushroom Bruschetta,,Earthy sautéed mushrooms on crisp crostini,
The Italian Culinary Experience,Artisan Breads & Starters,7,Tomato Basil Bruschetta,,Fresh tomatoes tossed with basil and olive oil on toasted bread,
The Italian Culinary Experience,Artisan Breads & Starters,8,Olive Tapenade,,Mediterranean olive spread with herbs and olive oil,
The Italian Culinary Experience,Artisan Breads & Starters,9,Basil Pesto Genovese,,"Classic basil, pine nut, and parmesan pesto",
The Italian Culinary Experience,Artisan Breads & Starters,10,Roasted Garlic Aioli,,Creamy garlic-infused mayonnaise with a smoky depth,
The Italian Culinary Experience,Gourmet Salad Atelier,1,Classic Caesar Salad (Live),,"Crisp lettuce tossed live with Caesar dressing, croutons, and parmesan",
The Italian Culinary Experience,Gourmet Salad Atelier,2,Burrata & Heirloom Tomato Salad,,Creamy burrata paired with juicy heirloom tomatoes,
The Italian Culinary Experience,Gourmet Salad Atelier,3,Mediterranean Quinoa Salad,,"Protein-rich quinoa with olives, herbs, and citrus dressing",
The Italian Culinary Experience,Gourmet Salad Atelier,4,Roasted Vegetable & Feta Salad,,Oven-roasted vegetables with crumbly feta cheese,
The Italian Culinary Experience,Gourmet Salad Atelier,5,Pasta Primavera Salad,,Fresh pasta tossed with seasonal vegetables and herbs,
The Italian Culinary Experience,Gourmet Salad Atelier,6,Rocket Leaves & Parmesan Shavings Salad,,Peppery arugula with delicate parmesan flakes,
The Italian Culinary Experience,Live Pasta Studio,1,Penne Rigate,,Tube pasta perfect for holding rich sauces,
The Italian Culinary Experience,Live Pasta Studio,2,Spaghetti,,Classic long pasta for traditional Italian flavors,
The Italian Culinary Experience,Live Pasta Studio,3,Fusilli,,Spiral pasta ideal for capturing sauces,
The Italian Culinary Experience,Live Pasta Studio,4,Farfalle,,Bow-tie pasta with a delicate bite,
The Italian Culinary Experience,Live Pasta Studio,5,Fettuccine,,Flat ribbons of pasta suited for creamy sauces,
The Italian Culinary Experience,Live Pasta Studio,6,Spinach & Ricotta Ravioli,,Stuffed pasta with creamy spinach and ricotta filling,
The Italian Culinary Experience,Live Pasta Studio – Sauces,1,Pomodoro Basilico,,Fresh tomato sauce infused with basil,
The Italian Culinary Experience,Live Pasta Studio – Sauces,2,Arrabbiata,,Spicy tomato sauce with garlic and chili,
The Italian Culinary Experience,Live Pasta Studio – Sauces,3,Alfredo,,Rich and creamy white sauce with butter and parmesan,
The Italian Culinary Experience,Live Pasta Studio – Sauces,4,Pesto Cream Fusion,,Creamy pesto with a herbaceous finish,
The Italian Culinary Experience,Live Pasta Studio – Sauces,5,Aglio e Olio,,Light garlic and olive oil sauce,
The Italian Culinary Experience,Live Pasta Studio – Sauces,6,Pink Sauce,,Balanced tomato and cream blend,
The Italian Culinary Experience,Live Pasta Studio – Sauces,7,Wild Mushroom Truffle Cream,,Luxurious mushroom sauce with truffle essence,
The Italian Culinary Experience,Wood-Fired Pizza Pavilion,1,Margherita Classica,,"Tomato, mozzarella, and fresh basil on a thin crust",
The Italian Culinary Experience,Wood-Fired Pizza Pavilion,2,Verdure Grigliate,,Grilled vegetables on a classic Italian base,
The Italian Culinary Experience,Wood-Fired Pizza Pavilion,3,Funghi & Olive Pizza,,Mushrooms and olives with rich cheese topping,
The Italian Culinary Experience,Wood-Fired Pizza Pavilion,4,Quattro Formaggi,,Blend of four premium cheeses,
The Italian Culinary Experience,Wood-Fired Pizza Pavilion,5,Pesto Paneer Pizza,,Indian twist with paneer and pesto sauce,
The Italian Culinary Experience,Wood-Fired Pizza Pavilion,6,Exotic Veg Supreme Pizza,,Loaded pizza with assorted gourmet vegetables,
The Italian Culinary Experience,Wood-Fired Pizza Pavilion,7,Truffle Mushroom Flatbread,,Thin crust topped with truffle-infused mushrooms,
The Italian Culinary Experience,Risotto & Entrées,1,Asparagus & Parmesan Risotto,,Creamy rice with asparagus and parmesan,
The Italian Culinary Experience,Risotto & Entrées,2,Wild Mushroom Truffle Risotto,,Earthy mushrooms with truffle aroma,
The Italian Culinary Experience,Risotto & Entrées,3,Sundried Tomato & Basil Risotto,,Tangy sun-dried tomato infused risotto,
The Italian Culinary Experience,Risotto & Entrées,4,Spinach & Ricotta Cannelloni,,Baked pasta rolls stuffed with spinach and ricotta,
The Italian Culinary Experience,Risotto & Entrées,5,Vegetable Lasagna Al Forno,,Layered pasta with vegetables and cheese baked to perfection,
The Italian Culinary Experience,Risotto & Entrées,6,Baked Mac & Cheese,,Italian-style creamy baked macaroni with cheese,
The Italian Culinary Experience,Cheese & Antipasti,1,Cheese Selection,,Curated assortment of imported and Indian cheeses,
The Italian Culinary Experience,Cheese & Antipasti,2,Marinated Olives,,Flavorful olives infused with herbs and oil,
The Italian Culinary Experience,Cheese & Antipasti,3,Grilled Zucchini & Peppers,,Charred vegetables with smoky notes,
The Italian Culinary Experience,Cheese & Antipasti,4,Stuffed Cherry Tomatoes,,Bite-sized tomatoes filled with savory stuffing,
The Italian Culinary Experience,Cheese & Antipasti,5,Cheese Platter with Crackers,,Elegant cheese pairing with crisp crackers,
The Italian Culinary Experience,Desserts,1,Classic Tiramisu,,Coffee-soaked layers with mascarpone cream,
The Italian Culinary Experience,Desserts,2,Baked Cheesecake,,Creamy cheesecake topped with berry compote,
The Italian Culinary Experience,Desserts,3,Panna Cotta,,Silky Italian dessert in vanilla or mango flavors,
The Italian Culinary Experience,Desserts,4,Chocolate Cannoli,,Crisp shells filled with chocolate cream,
The Italian Culinary Experience,Desserts,5,Nutella Calzone Bites,,Warm pockets filled with Nutella,
The Italian Culinary Experience,Desserts,6,Italian Gelato Counter,,Live scoops of artisanal gelato,
The Italian Culinary Experience,Desserts,7,Affogato,,Espresso poured over creamy ice cream,
The Italian Culinary Experience,Beverages,1,Fresh Lime Basil Spritzer,,Refreshing citrus drink with basil notes,
The Italian Culinary Experience,Beverages,2,Peach Iced Tea,,Chilled tea infused with sweet peach flavor,
The Italian Culinary Experience,Beverages,3,Cold Coffee Frappe,,Smooth blended iced coffee,
The Italian Culinary Experience,Beverages,4,Classic Espresso Shots,,Strong and aromatic Italian coffee,
The Oriental Culinary Experience,Dim Sum & Small Plates Atelier,1,Crystal Vegetable Dim Sums,,Delicate translucent dumplings filled with finely chopped vegetables,
The Oriental Culinary Experience,Dim Sum & Small Plates Atelier,2,Spinach & Corn Dumplings,,Soft dumplings with creamy spinach and sweet corn filling,
The Oriental Culinary Experience,Dim Sum & Small Plates Atelier,3,Edamame & Truffle Dumplings,,Edamame-filled dumplings infused with subtle truffle aroma,
The Oriental Culinary Experience,Dim Sum & Small Plates Atelier,4,Classic Veg Hakka Dim Sums,,Traditional Hakka-style vegetable dumplings with bold flavors,
The Oriental Culinary Experience,Dim Sum & Small Plates Atelier,5,Pan-Seared Potstickers,,Crispy-bottom dumplings with juicy vegetable filling,
The Oriental Culinary Experience,Dim Sum & Small Plates Atelier,6,Shanghai Style Bao Buns,,Soft steamed buns stuffed with flavorful vegetable filling,
The Oriental Culinary Experience,Dim Sum & Small Plates Atelier,7,Crispy Wonton Cups,,Crunchy wonton shells filled with spicy vegetable mix,
The Oriental Culinary Experience,Dim Sum & Small Plates Atelier,8,Edamame with Sea Salt & Chilli Oil,,Tossed edamame beans with sea salt and chilli oil,
The Oriental Culinary Experience,Asian Salad & Cold Bar,1,Asian Glass Noodle Salad,,Light glass noodles tossed with vegetables and tangy dressing,
The Oriental Culinary Experience,Asian Salad & Cold Bar,2,Sesame Peanut Crunch Salad,,Crisp vegetables with a rich sesame peanut dressing,
The Oriental Culinary Experience,Asian Salad & Cold Bar,3,Thai Raw Papaya Salad,,Fresh shredded papaya with spicy Thai flavors,
The Oriental Culinary Experience,Asian Salad & Cold Bar,4,Chilli Pineapple Salad,,Sweet pineapple tossed with chilli and herbs,
The Oriental Culinary Experience,Asian Salad & Cold Bar,5,Stir Tossed Exotic Greens,,Fresh greens tossed in light soy dressing,
The Oriental Culinary Experience,Live Wok Station – Noodles,1,Hakka Noodles,,Classic stir-fried noodles with vegetables,
The Oriental Culinary Experience,Live Wok Station – Noodles,2,Schezwan Noodles,,Spicy noodles tossed in Schezwan sauce,
The Oriental Culinary Experience,Live Wok Station – Noodles,3,Udon Noodles,,Thick Japanese noodles with a soft bite,
The Oriental Culinary Experience,Live Wok Station – Noodles,4,Rice Noodles,,Light and silky stir-fried rice noodles,
The Oriental Culinary Experience,Live Wok Station – Rice,1,Burnt Garlic Fried Rice,,Aromatic rice with crispy burnt garlic,
The Oriental Culinary Experience,Live Wok Station – Rice,2,Vegetable Hakka Fried Rice,,Classic fried rice with mixed vegetables,
The Oriental Culinary Experience,Live Wok Station – Rice,3,Schezwan Rice,,Spicy rice tossed in Schezwan flavors,
The Oriental Culinary Experience,Live Wok Station – Rice,4,Jasmine Rice,,Fragrant steamed jasmine rice,
The Oriental Culinary Experience,Live Wok Station – Wok Tossed Add-ons,1,Stir Fried Asian Greens,,Lightly sautéed greens with garlic,
The Oriental Culinary Experience,Live Wok Station – Wok Tossed Add-ons,2,Exotic Vegetables in Soy Garlic,,Vegetables tossed in soy garlic sauce,
The Oriental Culinary Experience,Live Wok Station – Wok Tossed Add-ons,3,Chilli Basil Vegetables,,Stir-fried vegetables with chilli and basil,
The Oriental Culinary Experience,Signature Gravies & Mains,1,Vegetable Manchurian,,Crispy vegetable balls in tangy sauce (dry or gravy),
The Oriental Culinary Experience,Signature Gravies & Mains,2,Chilli Paneer,,Paneer tossed in spicy chilli sauce (dry or gravy),
The Oriental Culinary Experience,Signature Gravies & Mains,3,Kung Pao Vegetables,,Stir-fried vegetables with peanuts and bold sauces,
The Oriental Culinary Experience,Signature Gravies & Mains,4,Black Pepper Paneer,,Paneer cooked in rich black pepper sauce,
The Oriental Culinary Experience,Signature Gravies & Mains,5,Sweet & Sour Vegetables,,Vegetables in a balanced sweet and tangy sauce,
The Oriental Culinary Experience,Signature Gravies & Mains,6,Thai Green Curry,,Creamy coconut curry with Thai herbs,
The Oriental Culinary Experience,Signature Gravies & Mains,7,Thai Red Curry,,Spicy coconut curry with aromatic spices,
The Oriental Culinary Experience,Signature Gravies & Mains,8,Stir Fried Tofu (Oyster Style Veg),,Tofu tossed in rich umami-style sauce,
The Oriental Culinary Experience,Street Style Asian Counter,1,Chinese Bhel,,Indo-Chinese fusion snack tossed live with sauces,
The Oriental Culinary Experience,Street Style Asian Counter,2,Crispy Noodle Chaat,,Crunchy noodles with tangy and spicy toppings,
The Oriental Culinary Experience,Street Style Asian Counter,3,Dragon Rolls,,Crispy rolls with spicy vegetable filling,
The Oriental Culinary Experience,Street Style Asian Counter,4,Spring Rolls,,Classic fried rolls with vegetable or cheese filling,
The Oriental Culinary Experience,Street Style Asian Counter,5,Crispy Lotus Stem,,Fried lotus stem tossed in honey chilli sauce,
The Oriental Culinary Experience,Asian Grill & Skewers,1,Chilli Garlic Paneer Skewers,,Paneer grilled with chilli garlic marinade,
The Oriental Culinary Experience,Asian Grill & Skewers,2,Sesame Honey Vegetable Skewers,,Vegetables glazed with sesame and honey,
The Oriental Culinary Experience,Asian Grill & Skewers,3,Teriyaki Veg Skewers,,Vegetables coated in sweet teriyaki glaze,
The Oriental Culinary Experience,Asian Grill & Skewers,4,Grilled Mushroom & Pepper Skewers,,Smoky mushrooms with bell peppers,
The Oriental Culinary Experience,Soup Bar,1,Hot & Sour Soup,,Spicy and tangy vegetable soup,
The Oriental Culinary Experience,Soup Bar,2,Sweet Corn Soup,,Mild and comforting corn soup,
The Oriental Culinary Experience,Soup Bar,3,Lemon Coriander Soup,,Light soup with citrus and coriander notes,
The Oriental Culinary Experience,Soup Bar,4,Manchow Soup,,Spicy soup topped with crispy noodles,
The Oriental Culinary Experience,Desserts,1,Darsaan,,Honey-fried noodles served with ice cream,
The Oriental Culinary Experience,Desserts,2,Date Pancakes,,Warm pancakes filled with dates and served with ice cream,
The Oriental Culinary Experience,Desserts,3,Coconut Milk Rice Pudding,,Creamy Asian-style rice dessert,
The Oriental Culinary Experience,Desserts,4,Fried Ice Cream,,Crispy-coated ice cream with soft center,
The Oriental Culinary Experience,Desserts,5,Chocolate Spring Rolls,,Crispy rolls filled with molten chocolate,
The Oriental Culinary Experience,Beverages,1,Fresh Lime Ginger Cooler,,Refreshing drink with lime and ginger,
The Oriental Culinary Experience,Beverages,2,Thai Iced Tea,,Sweet chilled tea with Thai flavors,
The Oriental Culinary Experience,Beverages,3,Lemongrass Iced Drink,,Light herbal drink with lemongrass,
The Oriental Culinary Experience,Beverages,4,Peach Bubble Tea,,Fruity tea with chewy tapioca pearls,
The Thai Culinary Experience,Thai Appetizers & Small Plates,1,Thai Fresh Spring Rolls,,Fresh rice paper rolls filled with vegetables served with peanut dip,
The Thai Culinary Experience,Thai Appetizers & Small Plates,2,Crispy Thai Vegetable Spring Rolls,,Golden fried rolls with flavorful vegetable filling,
The Thai Culinary Experience,Thai Appetizers & Small Plates,3,Corn & Water Chestnut Cakes,,Crispy cakes paired with sweet chilli sauce,
The Thai Culinary Experience,Thai Appetizers & Small Plates,4,Thai Veg Satay Skewers,,Grilled vegetable skewers served with rich peanut sauce,
The Thai Culinary Experience,Thai Appetizers & Small Plates,5,Golden Fried Tofu,,Crispy tofu glazed with tangy tamarind sauce,
The Thai Culinary Experience,Thai Appetizers & Small Plates,6,Crispy Lotus Stem,,Crunchy lotus stem tossed in Thai chilli sauce,
The Thai Culinary Experience,Thai Appetizers & Small Plates,7,Thai Herb Dumplings,,Delicate dumplings infused with Thai herbs,
The Thai Culinary Experience,Thai Appetizers & Small Plates,8,Kaffir Lime Paneer Bites,,Paneer infused with lemongrass and kaffir lime flavors,
The Thai Culinary Experience,Thai Salad Atelier,1,Som Tam,,Classic Thai raw papaya salad with bold tangy flavors,
The Thai Culinary Experience,Thai Salad Atelier,2,Thai Glass Noodle Salad,,Light noodles tossed with herbs and citrus dressing,
The Thai Culinary Experience,Thai Salad Atelier,3,Spicy Mango Salad,,Raw mango tossed with Thai spices and herbs,
The Thai Culinary Experience,Thai Salad Atelier,4,Pineapple & Chilli Salad,,Sweet pineapple balanced with chilli heat,
The Thai Culinary Experience,Thai Salad Atelier,5,Thai Herb Exotic Greens,,Fresh greens tossed in aromatic Thai dressing,
The Thai Culinary Experience,Thai Salad Atelier,6,Cucumber Peanut Salad,,Refreshing cucumber salad with peanut dressing,
The Thai Culinary Experience,Soup Bar,1,Tom Yum Soup,,Spicy and tangy Thai broth with herbs,
The Thai Culinary Experience,Soup Bar,2,Tom Kha Soup,,Creamy coconut soup with lemongrass and galangal,
The Thai Culinary Experience,Soup Bar,3,Thai Clear Vegetable Soup,,Light broth infused with Thai herbs,
The Thai Culinary Experience,Live Thai Wok Station – Base Selection,1,Pad Thai Noodles,,Classic Thai stir-fried noodles with balanced flavors,
The Thai Culinary Experience,Live Thai Wok Station – Base Selection,2,Flat Rice Noodles,,Soft noodles perfect for wok tossing,
The Thai Culinary Experience,Live Thai Wok Station – Base Selection,3,Jasmine Rice,,Fragrant steamed Thai rice,
The Thai Culinary Experience,Live Thai Wok Station – Base Selection,4,Sticky Rice,,Soft glutinous rice with a rich texture,
The Thai Culinary Experience,Live Thai Wok Station – Wok Toss Options,1,Thai Basil Vegetables,,Stir-fried vegetables with basil aroma,
The Thai Culinary Experience,Live Thai Wok Station – Wok Toss Options,2,Chilli Garlic Stir Fry,,Bold spicy vegetables with garlic,
The Thai Culinary Experience,Live Thai Wok Station – Wok Toss Options,3,Sweet Soy Vegetables,,Vegetables glazed in sweet soy sauce,
The Thai Culinary Experience,Live Thai Wok Station – Wok Toss Options,4,Cashew Nut Stir Fry,,Crunchy cashews with vegetables in Thai sauce,
The Thai Culinary Experience,Thai Curries & Mains,1,Thai Green Curry,,Coconut-based curry with basil and herbs,
The Thai Culinary Experience,Thai Curries & Mains,2,Thai Red Curry,,"Rich, spicy curry with aromatic spices",
The Thai Culinary Experience,Thai Curries & Mains,3,Thai Yellow Curry,,"Mild, creamy curry with subtle spices",
