RAJ AANGAN EVENTS & CATERERS,,,
,Signature Dining Menu,Royal Feast,Elite Experience
,,,Tofu Coriander Vadai Bites (Crispy tofu and coriander vadai crafted into flavourful bite-sized appetisers.)
,,,
,,,
The Great Indian Chaat Darbar,Choose Any 6,Choose Any 7,Choose Any 10
,"Raj Kachori Royale (A giant crispy kachori filled with savoury toppings, yogurt, chutneys, and fresh spices.)","Italian Pasta Atelier (Freshly cooked penne and fusilli tossed in your choice of Alfredo, Arrabbiata, or Pink Sauce with garden-fresh vegetables, herbs, and premium cheese.)","Jeweled Crisp Tokri Chaat (A crispy edible basket filled with vibrant vegetables, yogurt, chutneys, and crunchy toppings.)"
,"Jaipur Pyaaz Kachori Chaat (Traditional Rajasthani onion kachori topped with yogurt, chutneys, and flavourful spices.)","Wood-Fired Pizza Studio (Hand-stretched pizzas baked live with mozzarella cheese, colourful vegetables, and authentic Italian herbs on a crisp golden crust.)","Imperial Raj Kachori Chaat (A grand crispy kachori generously filled with savoury delights, yogurt, and signature chutneys.)"
,"Dilli Papdi Chaat (Crispy papdi layered with yogurt, tangy chutneys, and aromatic Indian spices.)","South Indian Dosa Pavilion (Freshly prepared crispy dosas served with traditional sambar, coconut chutney, tomato chutney, and a selection of delicious fillings.)","Heritage Papdi Chaat (Golden crisp papdi layered with creamy yogurt, tangy chutneys, and aromatic spices.)"
,Dahi Bhalla Supreme (Soft lentil dumplings immersed in creamy yogurt and topped with sweet and spicy chutneys.),"Oriental Chowmein Wok (Fresh noodles stir-fried live with crisp vegetables, aromatic sauces, and authentic Indo-Chinese flavours.)",Awadhi Dahi Bhalla (Soft lentil dumplings immersed in silky yogurt and finished with traditional Awadhi flavours.)
,"Lucknowi Aloo Tikki Chaat (Golden potato patties served with yogurt, chutneys, and authentic Lucknowi flavours.)","Raj Kachori Royale (A giant crispy kachori generously filled with savoury delights, yogurt, chutneys, and fresh garnishes.)","Artisan Dahi Puri (Crispy puris filled with potatoes, yogurt, chutneys, and fresh herbs for a delightful bite.)"
,Banarasi Tamatar Chaat (A Banaras speciality featuring tangy spiced tomatoes with traditional seasonings.),"Jaipur Pyaaz Kachori Chaat (Traditional onion kachori topped with creamy yogurt, tangy chutneys, and aromatic spices.)","Kashi Flavoured Pani Puri (Crisp puris served with tangy, spiced flavoured water inspired by the streets of Kashi.)"
,Banarasi Matar Chaat (Slow-cooked white peas tossed with aromatic spices and fresh garnishes.),"Dilli Papdi Chaat (Crispy papdi layered with yogurt, sweet and tangy chutneys, and crunchy toppings.)","Lucknowi Aloo Tikki Chaat (Golden potato patties served with yogurt, chutneys, and authentic Awadhi spices.)"
,"Basket Chaat (A crispy edible basket filled with fresh vegetables, yogurt, chutneys, and crunchy toppings.)",Dahi Bhalla Supreme (Soft lentil dumplings immersed in creamy yogurt and finished with signature chutneys.),Chole Tikki Symphony (Crispy potato tikki paired with richly spiced chickpeas and vibrant chutneys.)
,"Mumbai Bhel Puri (A refreshing blend of puffed rice, vegetables, chutneys, and crunchy sev.)","Lucknowi Aloo Tikki Chaat (Golden potato patties served with yogurt, chutneys, and authentic Awadhi flavours.)",Banarasi Tomato Chaat (A famous Banaras speciality of tangy tomatoes cooked with aromatic spices.)
,"Sev Puri (Crispy puris topped with potatoes, chutneys, onions, and generous sev.)",Banarasi Tamatar Chaat (A famous Banaras delicacy featuring tangy tomatoes cooked with traditional spices.),Banaras White Pea Chaat (Slow-cooked white peas tossed with fresh herbs and traditional Indian seasonings.)
,"Dahi Sev Puri (Crunchy puris layered with creamy yogurt, chutneys, and crispy sev.)",Banarasi Matar Chaat (Slow-cooked white peas tossed with aromatic spices and fresh herbs.),Earthen Kulhad Chaat (A flavourful chaat served in traditional earthen kulhads for an authentic rustic experience.)
,Ragda Pattice (Crispy potato patties served with flavourful white pea curry and tangy chutneys.),"Basket Chaat (A crispy edible basket filled with fresh vegetables, yogurt, chutneys, and crunchy garnishes.)",Agra Bedai Kachori Chaat (Classic Bedai Kachori served with spicy potato curry and traditional accompaniments.)
,Kolkata Ghugni Chaat (Traditional Bengali yellow peas curry garnished with fresh herbs and spices.),"Mumbai Bhel Puri (A delightful mix of puffed rice, vegetables, chutneys, and crispy sev.)",Tangy Arbi Kachalu Chaat (Tender colocasia tossed with zesty spices and fresh herbs for a tangy delight.)
,"Jhal Muri (A classic Kolkata street snack of puffed rice tossed with mustard oil, vegetables, and spices.)","Sev Puri (Crunchy puris topped with potatoes, onions, chutneys, and generous sev.)","Mughlai Paneer Tikka Chaat (Smoky paneer tikka served with yogurt, chutneys, and royal Mughlai flavours.)"
,Amritsari Chole Tikki (Crispy potato tikki served with spicy Punjabi chole and vibrant chutneys.),"Dahi Sev Puri (Crispy puris layered with creamy yogurt, sweet chutneys, and crunchy sev.)","Nawabi Samosa Chaat (Crispy samosa topped with spicy chickpeas, yogurt, and signature chutneys.)"
,Chole Kulche (Soft kulchas served with richly spiced Punjabi chickpea curry and accompaniments.),Ragda Pattice (Golden potato patties served with flavourful white pea curry and tangy chutneys.),"Shahi Palak Patta Chaat (Golden spinach leaves layered with creamy yogurt, chutneys, and premium garnishes.)"
,"Indori Palak Patta Chaat (Crispy spinach leaves topped with yogurt, chutneys, and crunchy garnishes.)",Kolkata Ghugni Chaat (Traditional Bengali yellow peas curry delicately seasoned with fresh herbs and spices.),Delhi Matar Kulcha (Soft kulchas served with flavourful white peas and traditional Delhi spices.)
,"Khaman Chaat (Soft Gujarati khaman enhanced with chutneys, fresh herbs, and savoury toppings.)","Jhal Muri (A classic Kolkata street snack of puffed rice tossed with mustard oil, vegetables, and spices.)",Purani Dilli Kulle Chaat (Fresh seasonal fruits and vegetables filled with tangy chaat masala in Old Delhi style.)
,Kanji Vada (Soft lentil vadas soaked in tangy fermented mustard-flavoured kanji for a traditional delight.),Amritsari Chole Tikki (Crispy potato tikki paired with spicy Punjabi chole and vibrant chutneys.),Ram Ladoo Chaat (Golden moong dal fritters served with grated radish and mint chutney.)
,"Samosa Chaat (Crispy samosa topped with chole, yogurt, chutneys, and aromatic Indian spices.)",Chole Kulche (Soft kulchas served with richly spiced chickpea curry and traditional accompaniments.),"Daulat Ki Chaat (A delicate, airy milk froth dessert delicately flavoured with saffron and dry fruits.)"
,"Italian Pasta Atelier (Freshly cooked penne and fusilli tossed in rich Alfredo, Arrabbiata, or Pink Sauce with garden-fresh vegetables, herbs, and premium cheese.)","Indori Palak Patta Chaat (Crispy spinach leaves topped with yogurt, chutneys, and crunchy masala garnishes.)",Kolkata Royal Puchka (Crispy puchkas filled with spiced potatoes and tangy tamarind water in authentic Kolkata style.)
,"Wood-Fired Pizza Studio (Hand-stretched pizzas baked live with mozzarella cheese, garden vegetables, and authentic Italian herbs on a crisp golden crust.)","Khaman Chaat (Soft Gujarati khaman enhanced with fresh herbs, chutneys, and savoury toppings.)",Dakshin Masala Idli Chaat (Soft idli cubes tossed with South Indian spices and flavourful chutneys.)
,"South Indian Dosa Pavilion (Freshly prepared crispy dosas served with traditional sambar, coconut chutney, tomato chutney, and a selection of delicious fillings.)",Kanji Vada (Soft lentil vadas soaked in tangy fermented mustard-flavoured kanji for an authentic taste.),Kuzhi Paniyaram Chaat (Golden South Indian paniyarams served with tangy chutneys and aromatic seasonings.)
,,"Samosa Chaat (Crispy samosa served with chole, yogurt, chutneys, and aromatic Indian spices.)","Dahi Idli Chaat (Soft idlis topped with chilled yogurt, chutneys, and fresh herbs.)"
,,"Palak Chaat Royale (Crispy spinach leaves layered with creamy yogurt, tangy chutneys, and premium garnishes.)",Crisp Dosa Chaat Fusion (Crunchy dosa bites creatively paired with chaat flavours for a unique fusion experience.)
,,"Dahi Gujiya Chaat (Crispy savoury gujiyas topped with chilled yogurt, chutneys, and fresh herbs.)","Sweet Potato Wellness Chaat (Roasted sweet potatoes tossed with herbs, lemon, and wholesome Indian spices.)"
,,"Corn Chaat Mexicana (Sweet corn tossed with colourful vegetables, herbs, and zesty Mexican-inspired seasonings.)","Mediterranean Chickpea Chaat (A refreshing blend of chickpeas, olives, herbs, and citrus-inspired flavours.)"
,,,"Makhana Mint Chaat (Roasted fox nuts tossed with fresh mint, herbs, and aromatic Indian seasonings.)"
,,,"Quinoa Crunch Chaat Bowl (Nutritious quinoa blended with fresh vegetables, herbs, and tangy chaat flavours.)"
,,,"Avocado Citrus Chaat Delight (Creamy avocado paired with citrus, fresh herbs, and signature Indian spices for a modern gourmet chaat.)"
,,,
,,,
The World Plate Collection,N/A,N/A,Choose Any 2
,,,"Italian Culinary Experience (A live station showcasing authentic Italian classics, handcrafted with premium ingredients and rich Mediterranean flavours.)"
,,,"Oriental Culinary Experience (Chinese & Pan-Asian) (A vibrant selection of Chinese and Pan-Asian delicacies prepared live with authentic sauces, herbs, and spices.)"
,,,"Thai Culinary Experience (An exquisite live kitchen serving aromatic Thai specialities with fragrant herbs, coconut, and bold exotic flavours.)"
,,,"Lebanese Culinary Experience (A refined spread of authentic Lebanese favourites featuring fresh mezze, grilled delicacies, and Middle Eastern spices.)"
,,,Japanese Culinary Experience (A sophisticated live counter offering authentic Japanese delicacies crafted with precision and premium ingredients.)
,,,Burmese Khao Suey Atelier (A live gourmet station serving rich Burmese Khao Suey with an array of traditional toppings and accompaniments.)
,,,"European Baked Indulgence (An elegant selection of freshly baked European specialities, featuring artisanal breads, savoury bakes, and gourmet delights.)"
,,,
,,,
The Regal Green and Global Salad Symphony,Choose Any 10,Choose Any 15,Choose Any 25
,Green Garden Salad (A refreshing medley of crisp garden-fresh vegetables with a light and vibrant finish.),Green Garden Salad (A refreshing medley of crisp garden-fresh vegetables with a light and vibrant finish.),"Royal Garden Harvest Salad (A vibrant medley of farm-fresh greens, seasonal vegetables, and light herb dressing)"
,"Onion Laccha (Thinly sliced onions seasoned with fresh herbs, lemon, and traditional spices.)","Onion Laccha (Thinly sliced onions seasoned with fresh herbs, lemon, and traditional spices.)","Mediterranean Pearl Couscous Salad (Fluffy couscous tossed with olives, herbs, vegetables, and citrus dressing)"
,"Cucumber Spears (Fresh, chilled cucumber spears served for a crisp and refreshing accompaniment.)","Cucumber Spears (Fresh, chilled cucumber spears served for a crisp and refreshing accompaniment.)",Exotic Fruit & Nut Symphony Salad (Seasonal fruits paired with toasted nuts and a hint of honey glaze)
,Tomato Rings (Juicy tomato slices elegantly presented with subtle seasoning and fresh herbs.),Tomato Rings (Juicy tomato slices elegantly presented with subtle seasoning and fresh herbs.),Truffle Infused Wild Mushroom Salad (Sautéed mushrooms enhanced with delicate truffle essence and herbs)
,Beetroot Slices (Tender beetroot slices offering natural sweetness and vibrant colour.),Beetroot Slices (Tender beetroot slices offering natural sweetness and vibrant colour.),Burrata & Heirloom Tomato Elegance (Creamy burrata paired with heirloom tomatoes and basil drizzle)
,"Carrot Juliennes (Fresh carrot strips served crisp, adding colour and wholesome freshness.)","Carrot Juliennes (Fresh carrot strips served crisp, adding colour and wholesome freshness.)","Classic Caesar Royale Salad (Crisp lettuce with parmesan, croutons, and rich Caesar dressing)"
,Radish Salad (Crunchy radish slices delicately seasoned for a refreshing palate cleanser.),Radish Salad (Crunchy radish slices delicately seasoned for a refreshing palate cleanser.),Avocado Citrus Luxe Salad (Creamy avocado balanced with zesty citrus and fresh greens)
,Sprout Salad (A nutritious blend of fresh sprouts tossed with herbs and zesty seasonings.),Sprout Salad (A nutritious blend of fresh sprouts tossed with herbs and zesty seasonings.),"Greek Feta & Olive Heritage Salad (Feta cheese with olives, cucumber, and Mediterranean dressing)"
,Cabbage Slaw (Finely shredded cabbage mixed with a light dressing for a crisp and refreshing bite.),Cabbage Slaw (Finely shredded cabbage mixed with a light dressing for a crisp and refreshing bite.),Asian Sesame Crunch Salad (Crisp vegetables tossed in a nutty sesame dressing with a crunchy finish)
,"Kachumber Salad (A traditional mix of cucumber, onion, tomato, and fresh herbs with a hint of lemon.)","Kachumber Salad (A traditional mix of cucumber, onion, tomato, and fresh herbs with a hint of lemon.)",Quinoa & Roasted Vegetable Delight (Protein-rich quinoa combined with slow-roasted seasonal vegetables)
,"Russian Salad (A creamy blend of fresh vegetables and fruits in a rich, classic dressing.)","Russian Salad (A creamy blend of fresh vegetables and fruits in a rich, classic dressing.)","Watermelon Feta Mint Refresher (Juicy watermelon with feta, mint, and a refreshing light dressing)"
,"Greek Salad (A Mediterranean favourite with crisp vegetables, olives, feta cheese, and herb dressing.)","Greek Salad (A Mediterranean favourite with crisp vegetables, olives, feta cheese, and herb dressing.)",Pineapple Chili Honey Fusion Salad (Sweet pineapple elevated with chili heat and honey glaze)
,"Caesar Vegetable Salad (Fresh lettuce, crunchy croutons, parmesan, and creamy Caesar dressing.)","Caesar Vegetable Salad (Fresh lettuce, crunchy croutons, parmesan, and creamy Caesar dressing.)",Smoked Corn & Bell Pepper Fiesta (Charred corn and peppers tossed in smoky spices and herbs)
,Corn & Bell Pepper Salad (Sweet corn and colourful bell peppers tossed with herbs and light seasonings.),Corn & Bell Pepper Salad (Sweet corn and colourful bell peppers tossed with herbs and light seasonings.),Cranberry Walnut Garden Salad (Fresh greens with tart cranberries and toasted walnuts)
,Seasonal Fruit Salad (A vibrant assortment of freshly cut seasonal fruits served chilled for natural refreshment.),Seasonal Fruit Salad (A vibrant assortment of freshly cut seasonal fruits served chilled for natural refreshment.),Kale & Apple Honey Mustard Salad (Crunchy kale paired with apples and a honey mustard dressing)
,,"Chickpea Mediterranean Salad (Protein-rich chickpeas tossed with fresh vegetables, olives, herbs, and a citrus dressing.)","Thai Raw Papaya Signature Salad (Shredded papaya with tangy, spicy Thai-style dressing)"
,,Pasta Primavera Salad (Al dente pasta combined with colourful vegetables and a light herb-infused dressing.),Oriental Glass Noodle Salad (Silky noodles tossed with vegetables in a light soy-sesame dressing)
,,Broccoli Almond Salad (Fresh broccoli florets paired with roasted almonds and a delicate creamy dressing.),"Zesty Chickpea Mediterranean Salad (Chickpeas mixed with herbs, vegetables, and citrus notes)"
,,Apple Walnut Salad (Crisp apples and crunchy walnuts blended with fresh greens for a refreshing gourmet salad.),Russian Heritage Potato Salad (Creamy potatoes blended with vegetables and classic seasoning)
,,Pineapple Mint Salad (Juicy pineapple tossed with fresh mint and a hint of citrus for a tropical refreshment.),Creamy Coleslaw Deluxe Edition (Finely shredded cabbage and carrot in a smooth creamy dressing)
,,,Roasted Beetroot & Goat Cheese Symphony (Oven-roasted beetroot paired with creamy goat cheese and subtle herb notes)
,,,Charred Broccoli Almond Salad (Lightly charred broccoli tossed with toasted almonds and delicate seasoning)
,,,Citrus Arugula Parmesan Salad (Peppery arugula with citrus accents and shaved parmesan)
,,,Pesto Pasta Primavera Salad (Pasta tossed with fresh vegetables in a fragrant basil pesto dressing)
,,,
,,,
Royal Paneer Kitchen,Choose Any 1,Choose Any 2,Choose Any 3
,,,
,"Shahi Paneer Darbari (Soft paneer simmered in a rich, creamy royal gravy infused with aromatic Indian spices.)","Shahi Paneer Darbari (Soft paneer simmered in a rich, creamy royal gravy infused with aromatic Indian spices.)",Rajwadi Shahi Paneer Nazakat (Rich tomato gravy finished with cream and royal spices)
,Paneer Butter Delight (Tender cottage cheese cooked in a velvety tomato and butter gravy with subtle spices.),Paneer Butter Delight (Tender cottage cheese cooked in a velvety tomato and butter gravy with subtle spices.),Paneer Makhmali Mehfil (Silky butter gravy with a luxurious velvety finish)
,Paneer Lababdar (Paneer cubes prepared in a rich onion-tomato gravy finished with cream and traditional spices.),Paneer Lababdar (Paneer cubes prepared in a rich onion-tomato gravy finished with cream and traditional spices.),Kesar Pista Paneer Darbari (Saffron infused gravy with pistachio richness)
,"Paneer Angara (Smoky paneer cooked in a bold, spiced gravy with a signature charcoal aroma.)","Paneer Angara (Smoky paneer cooked in a bold, spiced gravy with a signature charcoal aroma.)",Paneer Gulnaar Khaas (Delicate paneer in mildly sweet Mughlai-style gravy)
,Paneer Do Pyaza (Cottage cheese cooked with generous onions in a flavourful semi-dry spiced gravy.),Paneer Do Pyaza (Cottage cheese cooked with generous onions in a flavourful semi-dry spiced gravy.),Rajputana Laal Maas Paneer (Fiery Rajasthani red chilli gravy with paneer twist)
,"Paneer Hariyali (Fresh paneer simmered in a vibrant green gravy of spinach, coriander, and herbs.)","Paneer Hariyali (Fresh paneer simmered in a vibrant green gravy of spinach, coriander, and herbs.)",Paneer Angaara Tikka Masala (Char-grilled paneer in smoky spiced gravy)
,Paneer Palak (Soft paneer cubes served in a creamy spinach gravy delicately seasoned with Indian spices.),Paneer Palak (Soft paneer cubes served in a creamy spinach gravy delicately seasoned with Indian spices.),Dum Paneer Rajwada Handi (Slow-cooked paneer in sealed handi with aromatic spices)
,"Paneer Makhmali (Melt-in-the-mouth paneer cooked in a silky, creamy white gravy with mild aromatic flavours.)","Paneer Makhmali (Melt-in-the-mouth paneer cooked in a silky, creamy white gravy with mild aromatic flavours.)",Paneer Badami Shahi Korma (Almond-rich creamy gravy with subtle sweetness)
,Paneer Kasturi (Rich paneer delicately flavoured with kasuri methi and finished in a creamy spiced gravy.),Paneer Kasturi (Rich paneer delicately flavoured with kasuri methi and finished in a creamy spiced gravy.),Paneer Khazana Darbari (Stuffed paneer dumplings in royal gravy)
,"Paneer Achari (Paneer cooked in a tangy pickle-spiced gravy, offering a bold and flavourful taste.)","Paneer Achari (Paneer cooked in a tangy pickle-spiced gravy, offering a bold and flavourful taste.)",Paneer Anjeer Malai Vilas (Paneer with fig-infused creamy gravy)
,,"Paneer Khurchan Royale (Juliennes of paneer tossed with onions, capsicum, tomatoes, and aromatic North Indian spices.)",Paneer Zafrani Lahori (Saffron flavoured rich and aromatic curry)
,,"Paneer Tikka Masala (Chargrilled paneer tikka simmered in a rich, smoky tomato-based gravy.)",Paneer Subz Miloni Rajputana (Paneer with seasonal vegetables in royal gravy)
,,Paneer Nawabi (A royal preparation of paneer cooked in a luxurious nut-based gravy with delicate Mughlai spices.),Paneer Lababdar Shahi Rasoi (Tangy tomato gravy enriched with butter and cream)
,,,Paneer Adraki Lahsun Tadka (Paneer tempered with ginger-garlic flavours)
,,,Paneer Kasturi Methi Malai (Creamy gravy finished with dried fenugreek leaves)
,,,Paneer Jodhpuri Mirch Masala (Spicy Rajasthani style paneer with bold chilli flavours)
,,,Paneer Mewari Safed Maas Fusion (White creamy gravy inspired by safed maas)
,,,Paneer Butter Delight Chandni Chowk (Classic butter paneer with rich finish)
,,,Paneer Tawa Subz Rangrez (Tossed paneer with vegetables on hot tawa spices)
,,,
,,,
,,,
The Kofta Pavilion of Royal Flavours,Choose Any 1,Choose Any 1,Choose Any 1
,,,
,"Shahi Malai Kofta Darbar (Soft cottage cheese dumplings served in a rich, creamy royal gravy with aromatic spices.)","Shahi Malai Kofta Darbar (Soft cottage cheese dumplings served in a rich, creamy royal gravy with aromatic spices.)","Shahi Malai Kofta Darbar (Soft cottage cheese dumplings served in a rich, creamy royal gravy with aromatic spices.)"
,Rajwada Subz Kofta Nazakat (Delicate vegetable koftas simmered in a flavourful traditional North Indian gravy.),Rajwada Subz Kofta Nazakat (Delicate vegetable koftas simmered in a flavourful traditional North Indian gravy.),Rajwada Subz Kofta Nazakat (Delicate vegetable koftas simmered in a flavourful traditional North Indian gravy.)
,Kaju Anjeer Kofta Shahi Vilas (Luxurious cashew and fig koftas served in a rich Mughlai-style creamy gravy.),Kaju Anjeer Kofta Shahi Vilas (Luxurious cashew and fig koftas served in a rich Mughlai-style creamy gravy.),Kaju Anjeer Kofta Shahi Vilas (Luxurious cashew and fig koftas served in a rich Mughlai-style creamy gravy.)
,"Nargisi Kofta Rajsi Khazana (Stuffed koftas with a flavourful centre, cooked in an indulgent royal gravy.)","Nargisi Kofta Rajsi Khazana (Stuffed koftas with a flavourful centre, cooked in an indulgent royal gravy.)","Nargisi Kofta Rajsi Khazana (Stuffed koftas with a flavourful centre, cooked in an indulgent royal gravy.)"
,"Palak Paneer Kofta Noorani (Spinach and paneer koftas served in a smooth, mildly spiced creamy gravy.)","Palak Paneer Kofta Noorani (Spinach and paneer koftas served in a smooth, mildly spiced creamy gravy.)","Palak Paneer Kofta Noorani (Spinach and paneer koftas served in a smooth, mildly spiced creamy gravy.)"
,Methi Malai Kofta Rajputana (Fenugreek-infused koftas simmered in a velvety cream-based gravy with delicate spices.),Methi Malai Kofta Rajputana (Fenugreek-infused koftas simmered in a velvety cream-based gravy with delicate spices.),Methi Malai Kofta Rajputana (Fenugreek-infused koftas simmered in a velvety cream-based gravy with delicate spices.)
,Kashmiri Dry Fruit Kofta Khaas (Rich dry fruit koftas prepared in an aromatic Kashmiri-inspired creamy gravy.),Kashmiri Dry Fruit Kofta Khaas (Rich dry fruit koftas prepared in an aromatic Kashmiri-inspired creamy gravy.),Kashmiri Dry Fruit Kofta Khaas (Rich dry fruit koftas prepared in an aromatic Kashmiri-inspired creamy gravy.)
,Paneer Badami Kofta Darbari (Soft paneer and almond koftas cooked in a luxurious nut-based royal gravy.),Paneer Badami Kofta Darbari (Soft paneer and almond koftas cooked in a luxurious nut-based royal gravy.),Paneer Badami Kofta Darbari (Soft paneer and almond koftas cooked in a luxurious nut-based royal gravy.)
,Hariyali Kofta Angaara (Fresh herb and vegetable koftas served in a vibrant green spiced gravy.),Hariyali Kofta Angaara (Fresh herb and vegetable koftas served in a vibrant green spiced gravy.),Hariyali Kofta Angaara (Fresh herb and vegetable koftas served in a vibrant green spiced gravy.)
,Lauki Kofta Shahi Rasoi (Tender bottle gourd koftas simmered in a rich tomato and cream-based gravy.),Lauki Kofta Shahi Rasoi (Tender bottle gourd koftas simmered in a rich tomato and cream-based gravy.),Lauki Kofta Shahi Rasoi (Tender bottle gourd koftas simmered in a rich tomato and cream-based gravy.)
,"Khoya Kaju Kofta Rajwada (Creamy khoya and cashew koftas served in a rich, indulgent royal curry.)","Khoya Kaju Kofta Rajwada (Creamy khoya and cashew koftas served in a rich, indulgent royal curry.)","Khoya Kaju Kofta Rajwada (Creamy khoya and cashew koftas served in a rich, indulgent royal curry.)"
,Til Khoya Kofta Khaas (Sesame and khoya koftas delicately cooked in a smooth aromatic gravy.),Til Khoya Kofta Khaas (Sesame and khoya koftas delicately cooked in a smooth aromatic gravy.),Til Khoya Kofta Khaas (Sesame and khoya koftas delicately cooked in a smooth aromatic gravy.)
,Paneer Tikka Kofta Angaara (Smoky paneer tikka koftas served in a bold and flavourful tomato-based gravy.),Paneer Tikka Kofta Angaara (Smoky paneer tikka koftas served in a bold and flavourful tomato-based gravy.),Paneer Tikka Kofta Angaara (Smoky paneer tikka koftas served in a bold and flavourful tomato-based gravy.)
,Adraki Lahsun Kofta Darbar (Soft vegetable koftas infused with fresh ginger and garlic in a rich spiced gravy.),Adraki Lahsun Kofta Darbar (Soft vegetable koftas infused with fresh ginger and garlic in a rich spiced gravy.),Adraki Lahsun Kofta Darbar (Soft vegetable koftas infused with fresh ginger and garlic in a rich spiced gravy.)
,Subz Korma Kofta Rajsi (Mixed vegetable koftas served in a fragrant korma gravy enriched with nuts and cream.),Subz Korma Kofta Rajsi (Mixed vegetable koftas served in a fragrant korma gravy enriched with nuts and cream.),Subz Korma Kofta Rajsi (Mixed vegetable koftas served in a fragrant korma gravy enriched with nuts and cream.)
,"Pista Malai Kofta Vilas (Pistachio-infused malai koftas cooked in a silky, luxurious white gravy.)","Pista Malai Kofta Vilas (Pistachio-infused malai koftas cooked in a silky, luxurious white gravy.)","Pista Malai Kofta Vilas (Pistachio-infused malai koftas cooked in a silky, luxurious white gravy.)"
,Paneer Anardana Kofta Nazakat (Paneer koftas delicately flavoured with pomegranate and served in a rich creamy gravy.),Paneer Anardana Kofta Nazakat (Paneer koftas delicately flavoured with pomegranate and served in a rich creamy gravy.),Paneer Anardana Kofta Nazakat (Paneer koftas delicately flavoured with pomegranate and served in a rich creamy gravy.)
,"Palak Makhana Kofta Noor (Spinach and fox nut koftas simmered in a smooth, flavourful green gravy.)","Palak Makhana Kofta Noor (Spinach and fox nuts koftas simmered in a smooth, flavourful green gravy.)","Palak Makhana Kofta Noor (Spinach and fox nuts koftas simmered in a smooth, flavourful green gravy.)"
,"Kaju Kishmish Kofta Shahi (Cashew and raisin-stuffed koftas cooked in a rich, creamy royal gravy.)","Kaju Kishmish Kofta Shahi (Cashew and raisin-stuffed koftas cooked in a rich, creamy royal gravy.)","Kaju Kishmish Kofta Shahi (Cashew and raisin-stuffed koftas cooked in a rich, creamy royal gravy.)"
,,,
,,,
,,,
Aloo Regional Specialities,Choose Any 1,Choose Any 1,Choose Any 1
,Rajwadi Aloo Pyaz Rasoi (A rustic preparation of potatoes and onions cooked with traditional Rajasthani spices.),Rajwadi Aloo Pyaz Rasoi (A rustic preparation of potatoes and onions cooked with traditional Rajasthani spices.),Rajwadi Aloo Pyaz Rasoi (A rustic preparation of potatoes and onions cooked with traditional Rajasthani spices.)
,"Dum Aloo Rajwada Handi (Baby potatoes slow-cooked in a rich, aromatic gravy using the traditional dum method.)","Dum Aloo Rajwada Handi (Baby potatoes slow-cooked in a rich, aromatic gravy using the traditional dum method.)","Dum Aloo Rajwada Handi (Baby potatoes slow-cooked in a rich, aromatic gravy using the traditional dum method.)"
,Kashmiri Dum Aloo Shahi (Classic Kashmiri baby potatoes simmered in a rich yogurt-based gravy with aromatic spices.),Kashmiri Dum Aloo Shahi (Classic Kashmiri baby potatoes simmered in a rich yogurt-based gravy with aromatic spices.),Kashmiri Dum Aloo Shahi (Classic Kashmiri baby potatoes simmered in a rich yogurt-based gravy with aromatic spices.)
,"Jeera Aloo Darbari (Tender potatoes sautéed with roasted cumin, fresh herbs, and traditional Indian seasonings.)",Hara Dhaniya Bharwan Aloo Vilas (Stuffed baby potatoes flavoured with fresh coriander and aromatic spices in a rich gravy.),Hara Dhaniya Bharwan Aloo Vilas (Stuffed baby potatoes flavoured with fresh coriander and aromatic spices in a rich gravy.)
,Achari Dum Aloo Rajputana (Baby potatoes cooked in a tangy pickle-spiced gravy with bold Rajasthani flavours.),Bhojpuri Aloo Teekha Khaas (A spicy Bhojpuri-style potato curry prepared with robust regional spices and herbs.),Bhojpuri Aloo Teekha Khaas (A spicy Bhojpuri-style potato curry prepared with robust regional spices and herbs.)
,Aloo Tamatar Rasoi Shahi (Soft potatoes simmered in a flavourful tomato gravy infused with authentic Indian spices.),Achari Dum Aloo Rajputana (Baby potatoes cooked in a tangy pickle-spiced gravy with bold Rajasthani flavours.),Achari Dum Aloo Rajputana (Baby potatoes cooked in a tangy pickle-spiced gravy with bold Rajasthani flavours.)
,"Aloo Adraki Lahsun Tadka (Potatoes tempered with fresh ginger, garlic, and aromatic spices for a robust flavour.)","Jeera Aloo Darbari (Tender potatoes sautéed with roasted cumin, fresh herbs, and traditional Indian seasonings.)","Jeera Aloo Darbari (Tender potatoes sautéed with roasted cumin, fresh herbs, and traditional Indian seasonings.)"
,"Aloo Palak Noorani (Tender potatoes cooked with fresh spinach in a mildly spiced, creamy green gravy.)",Sikampuri Bharwan Aloo Shahi (Stuffed potatoes delicately seasoned and cooked in a luxurious royal-style gravy.),Sikampuri Bharwan Aloo Shahi (Stuffed potatoes delicately seasoned and cooked in a luxurious royal-style gravy.)
,"Aloo Methi Malai Rajsi (Potatoes cooked with fresh fenugreek leaves in a rich, creamy and delicately spiced gravy.)","Aloo Methi Malai Rajsi (Potatoes cooked with fresh fenugreek leaves in a rich, creamy, delicately spiced gravy.)","Aloo Methi Malai Rajsi (Potatoes cooked with fresh fenugreek leaves in a rich, creamy, delicately spiced gravy.)"
,Aloo Makhanwala Rajwada (Potatoes simmered in a buttery tomato gravy finished with fresh cream and aromatic spices.),"Aloo Palak Noorani (Tender potatoes cooked with fresh spinach in a mildly spiced, creamy green gravy.)","Aloo Palak Noorani (Tender potatoes cooked with fresh spinach in a mildly spiced, creamy green gravy.)"
